time,freemem@tsung_controller@ip-172-31-36-11 
0,7345.12890625 
10,7345.12890625 
20,7345.12890625 
30,7345.12890625 
40,7345.12890625 
50,7345.12890625 
60,7345.12890625 
70,7345.12890625 
80,7345.12890625 
90,7345.12890625 
100,7345.12890625 
110,7345.12890625 
120,7345.12890625 
130,7345.12890625 
140,7345.12890625 
150,7345.12890625 
160,7345.12890625 
170,7345.12890625 
180,7345.12890625 
190,7345.12890625 
200,7345.12890625 
210,7345.12890625 
220,7345.12890625 
230,7345.12890625 
236,7345.12890625 
